"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2958","testLogin[Вход через кнопку в форме восстановления пароля]","","","passed","","","tests.LoginParametrizedTest","tests.LoginParametrizedTest",""
"","8668","testLogin[Вход через кнопку 'Войти в аккаунт' на главной]","","","passed","","","tests.LoginParametrizedTest","tests.LoginParametrizedTest",""
"","1469","testSaucesTab","","","passed","","","tests.ConstructorTest","tests.ConstructorTest",""
"","2505","testLogin[Вход через кнопку 'Личный кабинет']","","","passed","","","tests.LoginParametrizedTest","tests.LoginParametrizedTest",""
"","4741","testBunsTab","","","passed","","","tests.ConstructorTest","tests.ConstructorTest",""
"","1350","testFillingsTab","","","passed","","","tests.ConstructorTest","tests.ConstructorTest",""
"","3520","testRegistrationWithInvalidPassword","","","passed","","","tests.RegistrationTest","tests.RegistrationTest",""
"","2363","testSuccessfulRegistration","","","passed","","","tests.RegistrationTest","tests.RegistrationTest",""
"","2550","testLogin[Вход через кнопку в форме регистрации]","","","passed","","","tests.LoginParametrizedTest","tests.LoginParametrizedTest",""
